route,day_num,day_name,month,avg_in,total_in
Route 3 West Side Connector,2,Wednesday,2025-05,252.5,1010
Route 4 Sunset,2,Wednesday,2025-05,181.5,726
Route 2 Riverside,2,Wednesday,2025-05,231.8,927
Route 6 Dixie Dr South,2,Wednesday,2025-05,102.2,409
Route 5 Ivins,2,Wednesday,2025-05,74.8,299
Route 7 Washington,2,Wednesday,2025-05,95.0,380
Route 8 Zion,2,Wednesday,2025-05,86.8,347
Route 1 Red Cliffs,0,Monday,2025-06,243.8,1219
Route 3 West Side Connector,0,Monday,2025-06,250.6,1253
Route 4 Sunset,0,Monday,2025-06,187.8,939
Route 2 Riverside,0,Monday,2025-06,246.0,1230
Route 6 Dixie Dr South,0,Monday,2025-06,95.0,475
Route 5 Ivins,0,Monday,2025-06,72.8,364
Route 7 Washington,0,Monday,2025-06,99.8,499
Route 8 Zion,0,Monday,2025-06,89.4,447
Route 1 Red Cliffs,1,Tuesday,2025-06,220.2,881
Route 3 West Side Connector,1,Tuesday,2025-06,257.0,1028
Route 4 Sunset,1,Tuesday,2025-06,174.5,698
Route 2 Riverside,1,Tuesday,2025-06,228.0,912
Route 6 Dixie Dr South,1,Tuesday,2025-06,91.2,365
Route 5 Ivins,1,Tuesday,2025-06,67.0,268
Route 7 Washington,1,Tuesday,2025-06,84.5,338
Route 8 Zion,1,Tuesday,2025-06,79.5,318
Route 1 Red Cliffs,2,Wednesday,2025-06,228.8,915
Route 3 West Side Connector,2,Wednesday,2025-06,243.8,975
Route 4 Sunset,2,Wednesday,2025-06,175.2,701
Route 2 Riverside,2,Wednesday,2025-06,223.8,895
Route 6 Dixie Dr South,2,Wednesday,2025-06,98.8,395
Route 5 Ivins,2,Wednesday,2025-06,72.2,289
Route 7 Washington,2,Wednesday,2025-06,91.8,367
Route 8 Zion,2,Wednesday,2025-06,83.8,335
Route 1 Red Cliffs,3,Thursday,2025-06,212.2,849
Route 3 West Side Connector,3,Thursday,2025-06,239.5,958
Route 4 Sunset,3,Thursday,2025-06,168.0,672
Route 2 Riverside,3,Thursday,2025-06,225.8,903
Route 6 Dixie Dr South,3,Thursday,2025-06,85.2,341
Route 5 Ivins,3,Thursday,2025-06,64.0,256
Route 7 Washington,3,Thursday,2025-06,85.2,341
Route 8 Zion,3,Thursday,2025-06,73.0,292
